"YEAR(sales_month)","kind_of_business","SUM(sales)"
1992,"Sporting goods stores","15583.00"
1992,"Hobby, toy, and game stores","11251.00"
1992,"Book stores","8327.00"
1993,"Sporting goods stores","16791.00"
1993,"Hobby, toy, and game stores","11651.00"
1993,"Book stores","9108.00"
1994,"Sporting goods stores","18825.00"
1994,"Hobby, toy, and game stores","12850.00"
1994,"Book stores","10107.00"
1995,"Sporting goods stores","19869.00"
1995,"Hobby, toy, and game stores","13714.00"
1995,"Book stores","11196.00"
1996,"Sporting goods stores","20810.00"
1996,"Hobby, toy, and game stores","14502.00"
1996,"Book stores","11905.00"
1997,"Sporting goods stores","21167.00"
1997,"Hobby, toy, and game stores","15021.00"
1997,"Book stores","12742.00"
1998,"Sporting goods stores","22284.00"
1998,"Hobby, toy, and game stores","15833.00"
1998,"Book stores","13282.00"
1999,"Sporting goods stores","23699.00"
1999,"Hobby, toy, and game stores","16651.00"
1999,"Book stores","14172.00"
2000,"Sporting goods stores","25308.00"
2000,"Hobby, toy, and game stores","16947.00"
2000,"Book stores","14879.00"
2001,"Sporting goods stores","26158.00"
2001,"Hobby, toy, and game stores","16820.00"
2001,"Book stores","15098.00"
2002,"Sporting goods stores","26219.00"
2002,"Hobby, toy, and game stores","16909.00"
2002,"Book stores","15437.00"
2003,"Sporting goods stores","27000.00"
2003,"Hobby, toy, and game stores","16582.00"
2003,"Book stores","16219.00"
2004,"Sporting goods stores","28640.00"
2004,"Hobby, toy, and game stores","16314.00"
2004,"Book stores","16881.00"
2005,"Sporting goods stores","30713.00"
2005,"Hobby, toy, and game stores","16255.00"
2005,"Book stores","16992.00"
2006,"Sporting goods stores","33869.00"
2006,"Hobby, toy, and game stores","16020.00"
2006,"Book stores","16978.00"
2007,"Sporting goods stores","35804.00"
2007,"Hobby, toy, and game stores","16344.00"
2007,"Book stores","17171.00"
2008,"Sporting goods stores","36777.00"
2008,"Hobby, toy, and game stores","16107.00"
2008,"Book stores","16801.00"
2009,"Sporting goods stores","36574.00"
2009,"Hobby, toy, and game stores","15530.00"
2009,"Book stores","15802.00"
2010,"Sporting goods stores","37407.00"
2010,"Hobby, toy, and game stores","15805.00"
2010,"Book stores","15238.00"
2011,"Sporting goods stores","38995.00"
2011,"Hobby, toy, and game stores","16119.00"
2011,"Book stores","13716.00"
2012,"Sporting goods stores","42142.00"
2012,"Hobby, toy, and game stores","16620.00"
2012,"Book stores","12269.00"
2013,"Sporting goods stores","44401.00"
2013,"Hobby, toy, and game stores","16907.00"
2013,"Book stores","11489.00"
2014,"Sporting goods stores","44723.00"
2014,"Hobby, toy, and game stores","17409.00"
2014,"Book stores","11325.00"
2015,"Sporting goods stores","46326.00"
2015,"Hobby, toy, and game stores","18009.00"
2015,"Book stores","10998.00"
2016,"Sporting goods stores","47290.00"
2016,"Hobby, toy, and game stores","18297.00"
2016,"Book stores","10741.00"
2017,"Sporting goods stores","45111.00"
2017,"Hobby, toy, and game stores","18075.00"
2017,"Book stores","10375.00"
2018,"Sporting goods stores","43857.00"
2018,"Hobby, toy, and game stores","16832.00"
2018,"Book stores","9617.00"
2019,"Sporting goods stores","43808.00"
2019,"Hobby, toy, and game stores","16261.00"
2019,"Book stores","8844.00"
2020,"Sporting goods stores","53344.00"
2020,"Hobby, toy, and game stores","17287.00"
2020,"Book stores","6425.00"
