"Year","Men's sales","Women's sales","Women/Men Diff","Women/Men Times","Women/Men %"
1992,"10179.00","31815.00","21636.00","3.125553","212.555300"
1993,"9962.00","32350.00","22388.00","3.247340","224.734000"
1994,"10032.00","30585.00","20553.00","3.048744","204.874400"
1995,"9315.00","28696.00","19381.00","3.080623","208.062300"
1996,"9546.00","28238.00","18692.00","2.958098","195.809800"
1997,"10069.00","27822.00","17753.00","2.763134","176.313400"
1998,"10196.00","28332.00","18136.00","2.778737","177.873700"
1999,"9667.00","29549.00","19882.00","3.056688","205.668800"
2000,"9507.00","31447.00","21940.00","3.307773","230.777300"
2001,"8625.00","31453.00","22828.00","3.646725","264.672500"
2002,"8112.00","31246.00","23134.00","3.851824","285.182400"
2003,"8249.00","32565.00","24316.00","3.947751","294.775100"
2004,"8566.00","34954.00","26388.00","4.080551","308.055100"
2005,"8737.00","37075.00","28338.00","4.243447","324.344700"
2006,"8844.00","38809.00","29965.00","4.388173","338.817300"
2007,"8772.00","40294.00","31522.00","4.593479","359.347900"
2008,"8351.00","38402.00","30051.00","4.598491","359.849100"
2009,"7353.00","36055.00","28702.00","4.903441","390.344100"
2010,"7285.00","37690.00","30405.00","5.173644","417.364400"
2011,"7860.00","40048.00","32188.00","5.095165","409.516500"
2012,"8272.00","41794.00","33522.00","5.052466","405.246600"
2013,"8670.00","41787.00","33117.00","4.819723","381.972300"
2014,"8870.00","41575.00","32705.00","4.687148","368.714800"
2015,"8810.00","41065.00","32255.00","4.661180","366.118000"
2016,"8494.00","40845.00","32351.00","4.808688","380.868800"
2017,"8298.00","40660.00","32362.00","4.899976","389.997600"
2018,"8208.00","41173.00","32965.00","5.016204","401.620400"
2019,"7981.00","40861.00","32880.00","5.119784","411.978400"
