"sales_year","kind_of_business","sales","CPI%"
1992,"Men's clothing stores","10179.00","0.000000"
1993,"Men's clothing stores","9962.00","-2.131800"
1994,"Men's clothing stores","10032.00","-1.444100"
1995,"Men's clothing stores","9315.00","-8.488100"
1996,"Men's clothing stores","9546.00","-6.218700"
1997,"Men's clothing stores","10069.00","-1.080700"
1998,"Men's clothing stores","10196.00","0.167000"
1999,"Men's clothing stores","9667.00","-5.030000"
2000,"Men's clothing stores","9507.00","-6.601800"
2001,"Men's clothing stores","8625.00","-15.266700"
2002,"Men's clothing stores","8112.00","-20.306500"
2003,"Men's clothing stores","8249.00","-18.960600"
2004,"Men's clothing stores","8566.00","-15.846400"
2005,"Men's clothing stores","8737.00","-14.166400"
2006,"Men's clothing stores","8844.00","-13.115200"
2007,"Men's clothing stores","8772.00","-13.822600"
2008,"Men's clothing stores","8351.00","-17.958500"
2009,"Men's clothing stores","7353.00","-27.763000"
2010,"Men's clothing stores","7285.00","-28.431100"
2011,"Men's clothing stores","7860.00","-22.782200"
2012,"Men's clothing stores","8272.00","-18.734600"
2013,"Men's clothing stores","8670.00","-14.824600"
2014,"Men's clothing stores","8870.00","-12.859800"
2015,"Men's clothing stores","8810.00","-13.449300"
2016,"Men's clothing stores","8494.00","-16.553700"
2017,"Men's clothing stores","8298.00","-18.479200"
2018,"Men's clothing stores","8208.00","-19.363400"
2019,"Men's clothing stores","7981.00","-21.593500"
1992,"Women's clothing stores","31815.00","0.000000"
1993,"Women's clothing stores","32350.00","1.681600"
1994,"Women's clothing stores","30585.00","-3.866100"
1995,"Women's clothing stores","28696.00","-9.803600"
1996,"Women's clothing stores","28238.00","-11.243100"
1997,"Women's clothing stores","27822.00","-12.550700"
1998,"Women's clothing stores","28332.00","-10.947700"
1999,"Women's clothing stores","29549.00","-7.122400"
2000,"Women's clothing stores","31447.00","-1.156700"
2001,"Women's clothing stores","31453.00","-1.137800"
2002,"Women's clothing stores","31246.00","-1.788500"
2003,"Women's clothing stores","32565.00","2.357400"
2004,"Women's clothing stores","34954.00","9.866400"
2005,"Women's clothing stores","37075.00","16.533100"
2006,"Women's clothing stores","38809.00","21.983300"
2007,"Women's clothing stores","40294.00","26.651000"
2008,"Women's clothing stores","38402.00","20.704100"
2009,"Women's clothing stores","36055.00","13.327000"
2010,"Women's clothing stores","37690.00","18.466100"
2011,"Women's clothing stores","40048.00","25.877700"
2012,"Women's clothing stores","41794.00","31.365700"
2013,"Women's clothing stores","41787.00","31.343700"
2014,"Women's clothing stores","41575.00","30.677400"
2015,"Women's clothing stores","41065.00","29.074300"
2016,"Women's clothing stores","40845.00","28.382800"
2017,"Women's clothing stores","40660.00","27.801400"
2018,"Women's clothing stores","41173.00","29.413800"
2019,"Women's clothing stores","40861.00","28.433100"
