"sales_month","sales","sales_avg"
"1992-01-01","1873.00","1873.000000"
"1992-02-01","1991.00","1932.000000"
"1992-03-01","2403.00","2089.000000"
"1992-04-01","2665.00","2233.000000"
"1992-05-01","2752.00","2336.800000"
"1992-06-01","2424.00","2351.333333"
"1992-07-01","2373.00","2354.428571"
"1992-08-01","2657.00","2392.250000"
"1992-09-01","2560.00","2410.888889"
"1992-10-01","2755.00","2445.300000"
"1992-11-01","2946.00","2490.818182"
"1992-12-01","4416.00","2651.250000"
"1993-01-01","2123.00","2672.083333"
"1993-02-01","2005.00","2673.250000"
"1993-03-01","2442.00","2676.500000"
"1993-04-01","2762.00","2684.583333"
"1993-05-01","2873.00","2694.666667"
"1993-06-01","2552.00","2705.333333"
"1993-07-01","2539.00","2719.166667"
"1993-08-01","2626.00","2716.583333"
"1993-09-01","2622.00","2721.750000"
"1993-10-01","2713.00","2718.250000"
"1993-11-01","2923.00","2716.333333"
"1993-12-01","4170.00","2695.833333"
"1994-01-01","1786.00","2667.750000"
"1994-02-01","1970.00","2664.833333"
"1994-03-01","2560.00","2674.666667"
"1994-04-01","2558.00","2657.666667"
"1994-05-01","2552.00","2630.916667"
"1994-06-01","2447.00","2622.166667"
"1994-07-01","2248.00","2597.916667"
"1994-08-01","2538.00","2590.583333"
"1994-09-01","2418.00","2573.583333"
"1994-10-01","2572.00","2561.833333"
"1994-11-01","2798.00","2551.416667"
"1994-12-01","4138.00","2548.750000"
"1995-01-01","1723.00","2543.500000"
"1995-02-01","1810.00","2530.166667"
"1995-03-01","2393.00","2516.250000"
"1995-04-01","2438.00","2506.250000"
"1995-05-01","2535.00","2504.833333"
"1995-06-01","2357.00","2497.333333"
"1995-07-01","2172.00","2491.000000"
"1995-08-01","2326.00","2473.333333"
"1995-09-01","2370.00","2469.333333"
"1995-10-01","2312.00","2447.666667"
"1995-11-01","2567.00","2428.416667"
"1995-12-01","3693.00","2391.333333"
"1996-01-01","1565.00","2378.166667"
"1996-02-01","1834.00","2380.166667"
"1996-03-01","2193.00","2363.500000"
"1996-04-01","2346.00","2355.833333"
"1996-05-01","2552.00","2357.250000"
"1996-06-01","2375.00","2358.750000"
"1996-07-01","2072.00","2350.416667"
"1996-08-01","2353.00","2352.666667"
