"YEAR(sales_month)","kind_of_business","SUM(sales)"
1992,"Men's clothing stores","10179.00"
1992,"Women's clothing stores","31815.00"
1993,"Men's clothing stores","9962.00"
1993,"Women's clothing stores","32350.00"
1994,"Men's clothing stores","10032.00"
1994,"Women's clothing stores","30585.00"
1995,"Men's clothing stores","9315.00"
1995,"Women's clothing stores","28696.00"
1996,"Men's clothing stores","9546.00"
1996,"Women's clothing stores","28238.00"
1997,"Men's clothing stores","10069.00"
1997,"Women's clothing stores","27822.00"
1998,"Men's clothing stores","10196.00"
1998,"Women's clothing stores","28332.00"
1999,"Men's clothing stores","9667.00"
1999,"Women's clothing stores","29549.00"
2000,"Men's clothing stores","9507.00"
2000,"Women's clothing stores","31447.00"
2001,"Men's clothing stores","8625.00"
2001,"Women's clothing stores","31453.00"
2002,"Men's clothing stores","8112.00"
2002,"Women's clothing stores","31246.00"
2003,"Men's clothing stores","8249.00"
2003,"Women's clothing stores","32565.00"
2004,"Men's clothing stores","8566.00"
2004,"Women's clothing stores","34954.00"
2005,"Men's clothing stores","8737.00"
2005,"Women's clothing stores","37075.00"
2006,"Men's clothing stores","8844.00"
2006,"Women's clothing stores","38809.00"
2007,"Men's clothing stores","8772.00"
2007,"Women's clothing stores","40294.00"
2008,"Men's clothing stores","8351.00"
2008,"Women's clothing stores","38402.00"
2009,"Men's clothing stores","7353.00"
2009,"Women's clothing stores","36055.00"
2010,"Men's clothing stores","7285.00"
2010,"Women's clothing stores","37690.00"
2011,"Men's clothing stores","7860.00"
2011,"Women's clothing stores","40048.00"
2012,"Men's clothing stores","8272.00"
2012,"Women's clothing stores","41794.00"
2013,"Men's clothing stores","8670.00"
2013,"Women's clothing stores","41787.00"
2014,"Men's clothing stores","8870.00"
2014,"Women's clothing stores","41575.00"
2015,"Men's clothing stores","8810.00"
2015,"Women's clothing stores","41065.00"
2016,"Men's clothing stores","8494.00"
2016,"Women's clothing stores","40845.00"
2017,"Men's clothing stores","8298.00"
2017,"Women's clothing stores","40660.00"
2018,"Men's clothing stores","8208.00"
2018,"Women's clothing stores","41173.00"
2019,"Men's clothing stores","7981.00"
2019,"Women's clothing stores","40861.00"
2020,"Men's clothing stores","3681.00"
2020,"Women's clothing stores","26526.00"
