"sales_month","kind_of_business","sales","Pct_Yearly"
"1992-01-01","Men's clothing stores","701.00","6.886728"
"1992-02-01","Men's clothing stores","658.00","6.464289"
"1992-03-01","Men's clothing stores","731.00","7.181452"
"1992-04-01","Men's clothing stores","816.00","8.016505"
"1992-05-01","Men's clothing stores","856.00","8.409470"
"1992-06-01","Men's clothing stores","853.00","8.379998"
"1992-07-01","Men's clothing stores","714.00","7.014441"
"1992-08-01","Men's clothing stores","777.00","7.633363"
"1992-09-01","Men's clothing stores","762.00","7.486001"
"1992-10-01","Men's clothing stores","841.00","8.262108"
"1992-11-01","Men's clothing stores","913.00","8.969447"
"1992-12-01","Men's clothing stores","1557.00","15.296198"
"1993-01-01","Men's clothing stores","695.00","6.976511"
"1993-02-01","Men's clothing stores","618.00","6.203574"
"1993-03-01","Men's clothing stores","706.00","7.086930"
"1993-04-01","Men's clothing stores","796.00","7.990363"
"1993-05-01","Men's clothing stores","809.00","8.120859"
"1993-06-01","Men's clothing stores","792.00","7.950211"
"1993-07-01","Men's clothing stores","722.00","7.247541"
"1993-08-01","Men's clothing stores","729.00","7.317808"
"1993-09-01","Men's clothing stores","748.00","7.508532"
"1993-10-01","Men's clothing stores","836.00","8.391889"
"1993-11-01","Men's clothing stores","913.00","9.164826"
"1993-12-01","Men's clothing stores","1598.00","16.040956"
"1994-01-01","Men's clothing stores","688.00","6.858054"
"1994-02-01","Men's clothing stores","632.00","6.299841"
"1994-03-01","Men's clothing stores","762.00","7.595694"
"1994-04-01","Men's clothing stores","774.00","7.715311"
"1994-05-01","Men's clothing stores","791.00","7.884769"
"1994-06-01","Men's clothing stores","819.00","8.163876"
"1994-07-01","Men's clothing stores","719.00","7.167065"
"1994-08-01","Men's clothing stores","754.00","7.515949"
"1994-09-01","Men's clothing stores","754.00","7.515949"
"1994-10-01","Men's clothing stores","836.00","8.333333"
"1994-11-01","Men's clothing stores","935.00","9.320175"
"1994-12-01","Men's clothing stores","1568.00","15.629984"
"1995-01-01","Men's clothing stores","661.00","7.096082"
"1995-02-01","Men's clothing stores","607.00","6.516371"
"1995-03-01","Men's clothing stores","674.00","7.235641"
"1995-04-01","Men's clothing stores","726.00","7.793881"
"1995-05-01","Men's clothing stores","721.00","7.740204"
"1995-06-01","Men's clothing stores","740.00","7.944176"
"1995-07-01","Men's clothing stores","642.00","6.892110"
"1995-08-01","Men's clothing stores","697.00","7.482555"
"1995-09-01","Men's clothing stores","722.00","7.750939"
"1995-10-01","Men's clothing stores","756.00","8.115942"
"1995-11-01","Men's clothing stores","903.00","9.694042"
"1995-12-01","Men's clothing stores","1466.00","15.738057"
"1996-01-01","Men's clothing stores","639.00","6.693903"
"1996-02-01","Men's clothing stores","651.00","6.819610"
"1996-03-01","Men's clothing stores","708.00","7.416719"
"1996-04-01","Men's clothing stores","718.00","7.521475"
"1996-05-01","Men's clothing stores","774.00","8.108108"
"1996-06-01","Men's clothing stores","759.00","7.950974"
"1996-07-01","Men's clothing stores","660.00","6.913891"
"1996-08-01","Men's clothing stores","761.00","7.971925"
"1996-09-01","Men's clothing stores","744.00","7.793840"
"1996-10-01","Men's clothing stores","793.00","8.307144"
"1996-11-01","Men's clothing stores","919.00","9.627069"
"1996-12-01","Men's clothing stores","1420.00","14.875340"
"1997-01-01","Men's clothing stores","697.00","6.922237"
"1997-02-01","Men's clothing stores","633.00","6.286622"
"1997-03-01","Men's clothing stores","746.00","7.408879"
"1997-04-01","Men's clothing stores","716.00","7.110935"
"1997-05-01","Men's clothing stores","809.00","8.034562"
"1997-06-01","Men's clothing stores","793.00","7.875658"
"1997-07-01","Men's clothing stores","737.00","7.319495"
"1997-08-01","Men's clothing stores","846.00","8.402026"
"1997-09-01","Men's clothing stores","761.00","7.557851"
"1997-10-01","Men's clothing stores","870.00","8.640381"
"1997-11-01","Men's clothing stores","987.00","9.802364"
"1997-12-01","Men's clothing stores","1474.00","14.638991"
"1998-01-01","Men's clothing stores","716.00","7.022362"
"1998-02-01","Men's clothing stores","644.00","6.316202"
"1998-03-01","Men's clothing stores","735.00","7.208709"
"1998-04-01","Men's clothing stores","844.00","8.277756"
"1998-05-01","Men's clothing stores","836.00","8.199294"
"1998-06-01","Men's clothing stores","817.00","8.012946"
"1998-07-01","Men's clothing stores","757.00","7.424480"
"1998-08-01","Men's clothing stores","844.00","8.277756"
"1998-09-01","Men's clothing stores","754.00","7.395057"
"1998-10-01","Men's clothing stores","865.00","8.483719"
"1998-11-01","Men's clothing stores","955.00","9.366418"
"1998-12-01","Men's clothing stores","1429.00","14.015300"
"1999-01-01","Men's clothing stores","684.00","7.075618"
"1999-02-01","Men's clothing stores","610.00","6.310127"
"1999-03-01","Men's clothing stores","708.00","7.323885"
"1999-04-01","Men's clothing stores","812.00","8.399710"
"1999-05-01","Men's clothing stores","803.00","8.306610"
"1999-06-01","Men's clothing stores","791.00","8.182476"
"1999-07-01","Men's clothing stores","723.00","7.479052"
"1999-08-01","Men's clothing stores","789.00","8.161788"
"1999-09-01","Men's clothing stores","714.00","7.385952"
"1999-10-01","Men's clothing stores","802.00","8.296266"
"1999-11-01","Men's clothing stores","896.00","9.268646"
"1999-12-01","Men's clothing stores","1335.00","13.809869"
"2000-01-01","Men's clothing stores","635.00","6.679289"
"2000-02-01","Men's clothing stores","611.00","6.426843"
"2000-03-01","Men's clothing stores","707.00","7.436626"
"2000-04-01","Men's clothing stores","759.00","7.983591"
"2000-05-01","Men's clothing stores","770.00","8.099295"
"2000-06-01","Men's clothing stores","750.00","7.888924"
"2000-07-01","Men's clothing stores","719.00","7.562848"
"2000-08-01","Men's clothing stores","789.00","8.299148"
"2000-09-01","Men's clothing stores","751.00","7.899443"
"2000-10-01","Men's clothing stores","787.00","8.278111"
"2000-11-01","Men's clothing stores","897.00","9.435153"
"2000-12-01","Men's clothing stores","1332.00","14.010729"
"2001-01-01","Men's clothing stores","620.00","7.188406"
"2001-02-01","Men's clothing stores","588.00","6.817391"
"2001-03-01","Men's clothing stores","681.00","7.895652"
"2001-04-01","Men's clothing stores","675.00","7.826087"
"2001-05-01","Men's clothing stores","710.00","8.231884"
"2001-06-01","Men's clothing stores","702.00","8.139130"
"2001-07-01","Men's clothing stores","626.00","7.257971"
"2001-08-01","Men's clothing stores","743.00","8.614493"
"2001-09-01","Men's clothing stores","610.00","7.072464"
"2001-10-01","Men's clothing stores","704.00","8.162319"
"2001-11-01","Men's clothing stores","793.00","9.194203"
"2001-12-01","Men's clothing stores","1173.00","13.600000"
"2002-01-01","Men's clothing stores","540.00","6.656805"
"2002-02-01","Men's clothing stores","534.00","6.582840"
"2002-03-01","Men's clothing stores","657.00","8.099112"
"2002-04-01","Men's clothing stores","632.00","7.790927"
"2002-05-01","Men's clothing stores","665.00","8.197732"
"2002-06-01","Men's clothing stores","650.00","8.012821"
"2002-07-01","Men's clothing stores","592.00","7.297830"
"2002-08-01","Men's clothing stores","695.00","8.567554"
"2002-09-01","Men's clothing stores","604.00","7.445759"
"2002-10-01","Men's clothing stores","669.00","8.247041"
"2002-11-01","Men's clothing stores","761.00","9.381164"
"2002-12-01","Men's clothing stores","1113.00","13.720414"
"2003-01-01","Men's clothing stores","539.00","6.534125"
"2003-02-01","Men's clothing stores","498.00","6.037095"
"2003-03-01","Men's clothing stores","601.00","7.285732"
"2003-04-01","Men's clothing stores","631.00","7.649412"
"2003-05-01","Men's clothing stores","679.00","8.231301"
"2003-06-01","Men's clothing stores","657.00","7.964602"
"2003-07-01","Men's clothing stores","602.00","7.297854"
"2003-08-01","Men's clothing stores","741.00","8.982907"
"2003-09-01","Men's clothing stores","625.00","7.576676"
"2003-10-01","Men's clothing stores","704.00","8.534368"
"2003-11-01","Men's clothing stores","781.00","9.467814"
"2003-12-01","Men's clothing stores","1191.00","14.438114"
"2004-01-01","Men's clothing stores","574.00","6.700911"
"2004-02-01","Men's clothing stores","559.00","6.525800"
"2004-03-01","Men's clothing stores","637.00","7.436376"
"2004-04-01","Men's clothing stores","674.00","7.868317"
"2004-05-01","Men's clothing stores","675.00","7.879991"
"2004-06-01","Men's clothing stores","657.00","7.669858"
"2004-07-01","Men's clothing stores","639.00","7.459724"
"2004-08-01","Men's clothing stores","720.00","8.405323"
"2004-09-01","Men's clothing stores","634.00","7.401354"
"2004-10-01","Men's clothing stores","727.00","8.487042"
"2004-11-01","Men's clothing stores","809.00","9.444315"
"2004-12-01","Men's clothing stores","1261.00","14.720990"
"2005-01-01","Men's clothing stores","575.00","6.581206"
"2005-02-01","Men's clothing stores","576.00","6.592652"
"2005-03-01","Men's clothing stores","699.00","8.000458"
"2005-04-01","Men's clothing stores","672.00","7.691427"
"2005-05-01","Men's clothing stores","698.00","7.989012"
"2005-06-01","Men's clothing stores","719.00","8.229369"
"2005-07-01","Men's clothing stores","646.00","7.393842"
"2005-08-01","Men's clothing stores","740.00","8.469726"
"2005-09-01","Men's clothing stores","634.00","7.256495"
"2005-10-01","Men's clothing stores","717.00","8.206478"
"2005-11-01","Men's clothing stores","809.00","9.259471"
"2005-12-01","Men's clothing stores","1252.00","14.329862"
"2006-01-01","Men's clothing stores","570.00","6.445047"
"2006-02-01","Men's clothing stores","557.00","6.298055"
"2006-03-01","Men's clothing stores","660.00","7.462687"
"2006-04-01","Men's clothing stores","693.00","7.835821"
