"MONTH","sales_2016","sales_2017","sales_2018","sales_2019","sales_2020"
"January","1427.00","1386.00","1217.00","1004.00","956.00"
"February","688.00","676.00","641.00","569.00","573.00"
"March","682.00","695.00","659.00","587.00","392.00"
"April","672.00","717.00","631.00","631.00","163.00"
"May","742.00","771.00","699.00","675.00","275.00"
"June","678.00","689.00","638.00","594.00","388.00"
"July","654.00","651.00","611.00","572.00","437.00"
"August","1499.00","1378.00","1226.00","1088.00","770.00"
"September","1040.00","980.00","869.00","842.00","620.00"
"October","690.00","655.00","639.00","627.00","455.00"
"November","720.00","663.00","665.00","618.00","496.00"
"December","1249.00","1114.00","1122.00","1037.00","900.00"
