"period","cohort_retained","pct_retained"
"0","12518","100.0000"
"1","3600","28.7600"
"2","3619","28.9100"
"3","1831","14.6300"
"4","3210","25.6400"
"5","1744","13.9300"
"6","2385","19.0500"
"7","1360","10.8600"
"8","1607","12.8400"
"9","1028","8.2100"
"10","1398","11.1700"
"11","918","7.3300"
"12","1185","9.4700"
"13","859","6.8600"
"14","715","5.7100"
"15","438","3.5000"
"16","852","6.8100"
"17","558","4.4600"
"18","546","4.3600"
"19","373","2.9800"
"20","398","3.1800"
"21","280","2.2400"
"22","379","3.0300"
"23","309","2.4700"
"24","227","1.8100"
"25","223","1.7800"
"26","178","1.4200"
"27","119","0.9500"
"28","188","1.5000"
"29","141","1.1300"
"30","109","0.8700"
"31","90","0.7200"
"32","78","0.6200"
"33","61","0.4900"
"34","66","0.5300"
"35","60","0.4800"
"36","39","0.3100"
"37","43","0.3400"
"38","26","0.2100"
"39","31","0.2500"
"40","14","0.1100"
"41","18","0.1400"
"42","16","0.1300"
"43","12","0.1000"
"44","7","0.0600"
"45","14","0.1100"
"46","3","0.0200"
"47","6","0.0500"
"48","5","0.0400"
"49","3","0.0200"
"50","4","0.0300"
"51","5","0.0400"
"52","1","0.0100"
"53","1","0.0100"
"54","2","0.0200"
"56","1","0.0100"
"57","1","0.0100"
